Timer ray-tracing      on rank  52 :  70607 ms,   1470 ms,    795 ms,   2258 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  53 :  70579 ms,   1470 ms,    760 ms,   2154 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  54 :  70734 ms,   1473 ms,    795 ms,   2012 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  55 :  69985 ms,   1458 ms,    785 ms,   2072 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  56 :  68906 ms,   1435 ms,    787 ms,   2012 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  57 :  68729 ms,   1431 ms,    766 ms,   2034 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  58 :  67825 ms,   1413 ms,    824 ms,   2104 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  59 :  66189 ms,   1378 ms,    821 ms,   2068 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  60 :  64815 ms,   1350 ms,    816 ms,   1968 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  61 :  64085 ms,   1335 ms,    794 ms,   2058 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  62 :  63244 ms,   1317 ms,    834 ms,   2109 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  63 :  62185 ms,   1295 ms,    802 ms,   2071 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  64 :  61437 ms,   1279 ms,    787 ms,   1976 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  65 :  60807 ms,   1266 ms,    744 ms,   1936 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  66 :  60277 ms,   1255 ms,    766 ms,   1979 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  67 :  59622 ms,   1242 ms,    782 ms,   2047 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  68 :  59298 ms,   1235 ms,    759 ms,   2027 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  69 :  60328 ms,   1256 ms,    780 ms,   1982 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  70 :  61134 ms,   1273 ms,    754 ms,   1934 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  71 :  62320 ms,   1271 ms,    756 ms,   1908 ms,  49 (total, mean, min, max, timings)
Timer optical-flow     on rank   0 :  94275 ms,   1964 ms,   1000 ms,   2676 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   1 :  92783 ms,   1932 ms,    974 ms,   2855 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   2 :  93207 ms,   1941 ms,    734 ms,   2825 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   3 :  93375 ms,   1945 ms,    656 ms,   2809 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   4 :  88868 ms,   1851 ms,    875 ms,   2836 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   5 :  90521 ms,   1885 ms,   1040 ms,   2866 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   6 :  89915 ms,   1873 ms,   1038 ms,   2795 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   7 :  91582 ms,   1907 ms,    977 ms,   2885 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   8 :  87727 ms,   1827 ms,    907 ms,   2842 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank   9 :  89379 ms,   1862 ms,   1013 ms,   2668 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  10 :  89662 ms,   1867 ms,    930 ms,   2775 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  11 :  90412 ms,   1883 ms,   1077 ms,   2772 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  12 :  93077 ms,   1939 ms,   1101 ms,   2763 ms,  48 (total, mean, min, max, timings)
